0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
85.24444,84.91356,81.34199,82.91168,78.25218,92.54518,93.60293,95.08173,79.95781,73.71036,68.69409,68.0795,79.07175,78.59838,70.17199,69.1903,70.07645,0.0,0.0,63.83774,84.78385,77.84152,87.24442,107.66527,110.82043,110.82043,110.82043,110.82043,106.86319,106.86319,106.86319,95.46254,95.46254,95.46254,92.49837,93.51012,108.2,118.71428,118.71428,118.71428,147.05714,147.05714,147.05714,118.71428,118.71428,147.05714,147.05714,170.92097
46.1541,46.40174,50.6055,55.15607,66.87007,68.54428,78.40575,58.86546,57.15598,56.81927,83.95033,86.16592,124.25638,144.46456,139.58015,122.27232,83.61737,80.68569,81.36117,63.57073,69.20388,74.77048,87.15862,90.922,197.00422,226.17135,237.56342,231.69197,281.70518,186.63221,198.50898,196.88092,174.37459,185.87034,300.93032,290.91075,354.97075,233.16699,235.27805,230.15735,290.18556,388.76132,295.93605,207.67972,222.07346,213.94017,188.37886,233.77817
16.12236,18.12155,17.85258,17.08008,14.77677,14.07328,20.69265,21.81157,22.31327,26.53615,30.24699,32.14064,36.56974,44.78998,46.44044,40.74495,39.54885,41.29631,42.96323,42.34294,41.60005,29.32408,28.98886,26.09096,18.86542,19.87226,19.37973,17.91417,16.97538,11.94844,10.49552,11.12805,11.20513,11.21045,11.20904,11.31297,11.34251,11.2665,11.22738,11.1807,10.99631,10.9859,10.93862,10.9558,10.57878,10.01912,9.6021,9.51107
105.10637,90.65297,89.58676,96.59993,105.87949,116.66591,136.8055,134.90468,104.63136,116.67281,110.80156,109.04814,106.13605,119.59753,104.99851,99.71812,104.60484,109.17416,84.46514,90.4918,107.42005,111.53198,103.51091,136.4156,83.375,83.375,89.76923,90.0,40.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,20.0,20.0,20.0,41.81208,190.0,190.0,106.66667
14.88055,15.08014,15.27016,15.74964,13.50117,12.09208,11.90256,11.86678,11.84361,11.8487,11.94953,12.00286,12.15059,11.73249,11.92108,12.11884,12.82385,11.85366,12.02848,12.84462,12.7891,14.4649,13.08593,13.45276,23.35178,24.16543,27.75742,31.03275,26.40769,28.99369,30.45029,27.46738,28.12684,30.14339,26.87239,28.11053,26.16912,26.02537,23.52279,25.64676,24.8287,29.18922,30.35142,29.29588,30.59362,32.12504,32.55361,29.17072
66.84463,67.23016,63.50324,60.46917,67.40044,74.81386,78.87564,79.20296,85.57786,85.5847,85.61947,79.01552,84.82903,79.33899,75.48426,77.0157,83.69052,74.02892,73.02947,70.96532,70.48932,68.56489,66.82425,76.68639,378.45533,380.03518,410.51396,276.50346,122.00986,72.69742,68.02646,69.39231,68.22731,63.31395,62.29612,96.05025,158.65976,137.88912,127.59752,84.91831,68.73269,50.17782,49.42829,49.72032,58.7982,87.79144,80.7355,216.01774
59.90791,72.17589,71.76586,75.90318,75.04647,68.34778,65.87468,76.15385,26.76054,7.23,24.05911,26.64131,0.0,0.0,44.77458,47.09992,46.30236,46.84224,43.11292,43.41041,42.75704,44.86219,46.18232,46.41432,258.25397,279.58665,283.41468,284.47964,282.74658,288.22991,295.72686,290.9872,36.8568,30.86341,29.59543,20.02817,19.66721,18.36505,19.62608,18.54343,17.85925,17.95408,8.93484,9.08648,10.47764,36.68499,82.16957,75.81016
241.57735,233.97281,176.81998,177.53865,201.36906,194.52412,197.41464,194.14226,194.10464,196.68261,201.33527,205.29831,197.78047,192.24613,208.24145,206.08289,202.52987,205.60446,197.3776,332.11149,342.20866,338.47931,251.79355,185.98282,15.0,15.0,15.0,15.0,20.0,20.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,56.29464,56.29464,56.29464,15.0,15.0,15.08571,15.08571,15.08571,15.08571,15.02857,197.5
118.0078,91.24842,88.888,108.49866,109.53502,121.20363,135.0,93.71091,73.60293,60.274,56.78339,33.26833,0.0,15.23,240.33677,252.97584,253.82837,232.35192,230.7428,231.98048,159.58486,162.97857,117.85533,118.01993,18.89324,18.95842,17.86153,19.79535,18.39288,17.46111,17.34736,17.33708,17.19038,17.03906,17.53604,17.08885,17.07411,17.15724,17.1058,17.0892,17.03587,17.06324,17.04371,17.07254,17.04328,17.08876,17.12562,18.02173
67.01805,49.75028,0.0,0.0,0.0,0.0,121.52314,130.80256,197.49776,203.20629,198.98152,123.7269,121.76637,123.70046,148.12137,139.11388,120.59918,182.08451,185.81827,188.74142,103.31511,111.02523,122.58884,96.34741,6.15385,6.15385,6.44706,6.63158,6.15385,5.95556,4.8,18.0,18.0,7.2,7.0,7.0,7.2,7.2,7.2,7.2,7.2,7.27783,7.27783,7.27783,8.00909,7.40909,7.56,7.3
