,index,EU,ED,Spot,LU,LD
0,1-5-25 40,51.84272208333334,5.8658279166666665,153.53369539109593,47.730515721461195,58.994904263127864
0,1-5-25 41,64.32144458333332,115.0242670833333,154.84914872340178,47.10407227397258,59.614965831050206
0,1-5-25 42,64.32144458333333,115.02426708333336,154.89649575719176,47.410876159246584,59.01179437157535
0,1-5-25 43,137.27226625,110.91826875,154.84914872340184,47.73051572146119,58.99490426312787
0,1-5-25 44,51.842722083333335,5.8658279166666665,154.84914872340184,47.410876159246584,59.01179437157534
0,1-5-25 45,51.84272208333334,5.8658279166666665,153.50958751329907,47.410876159246584,59.01179437157534
0,1-5-25 46,64.32144458333333,115.02426708333333,154.84914872340178,47.10407227397258,59.614965831050206
0,1-5-25 47,137.27226625,110.91826875000002,153.6523089740297,47.41087615924659,59.01179437157535
0,1-5-25 48,37.217539583333334,189.22045416666666,153.6728923083904,47.85059778082192,58.64512363299088
0,1-5-25 49,137.27226625,110.91826875000002,154.84914872340184,47.57095882020548,59.9354065125571
0,1-5-25 50,51.842722083333335,5.8658279166666665,145.9662765505137,46.94321881906392,59.863495150114154
0,1-5-25 51,53.89820624999999,129.79928000000004,154.9667012361301,47.28692635445205,59.520793726598164
0,1-5-25 52,64.32144458333333,115.02426708333336,154.89649575719176,47.73051572146119,58.994904263127864
0,1-5-25 53,51.84272208333334,5.8658279166666665,154.84914872340184,47.410876159246584,59.01179437157534
0,1-5-25 54,137.27226624999997,110.91826875,154.84914872340184,47.1040722739726,59.61496583105022
0,1-5-25 55,54.96269416666666,116.16028791666666,154.84914872340184,47.104072273972605,59.61496583105023
0,1-5-25 56,51.842722083333335,5.8658279166666665,165.96521825753425,47.57095882020548,59.93540651255708
0,1-5-25 57,51.842722083333335,5.8658279166666665,153.50958751329907,47.410876159246584,59.01179437157534
0,1-5-25 58,64.32144458333333,115.02426708333336,154.89649575719176,47.1040722739726,59.61496583105023
0,1-5-25 59,54.962694166666644,116.16028791666663,145.9189295167237,46.94321881906391,59.86349515011414
0,1-5-25 60,38.471596666666656,71.33803166666662,154.84914872340178,47.10407227397258,59.61496583105022
0,1-5-25 61,38.47159666666666,71.33803166666665,154.8964957571918,47.57095882020548,59.9354065125571
0,1-5-25 62,51.842722083333335,5.8658279166666665,153.50958751329907,47.410876159246584,59.01179437157535
0,1-5-25 63,137.27226625,110.91826875000002,153.5336953910959,47.730515721461195,58.99490426312787
0,1-5-25 64,64.32144458333333,115.02426708333337,154.84914872340184,47.5709588202055,59.9354065125571
0,1-5-25 65,54.962694166666665,116.16028791666666,154.84914872340184,47.410876159246584,59.01179437157534
0,1-5-25 66,137.27226624999994,110.91826874999998,154.84914872340178,47.10407227397258,59.614965831050206
0,1-5-25 67,137.27226624999997,110.91826875,154.84914872340184,47.73051572146119,58.99490426312787
0,1-5-25 68,28.887862499999997,21.176975000000002,153.65230897402967,47.410876159246584,59.01179437157535
0,1-5-25 69,51.842722083333335,5.8658279166666665,166.10793971826482,47.57095882020548,59.93540651255708
0,1-5-25 70,105.28615625000002,130.521675,154.89649575719176,47.57095882020548,59.93540651255708
0,1-5-25 71,42.087919166666666,25.982915000000002,165.96521825753425,47.57095882020548,59.93540651255708
0,1-5-25 72,38.47159666666666,71.33803166666665,154.8964957571918,47.10407227397261,59.61496583105025
0,1-5-25 73,64.32144458333335,115.02426708333337,154.8964957571918,47.39302657591325,59.3965825742009
0,1-5-25 74,137.27226625,110.91826875,154.84914872340184,47.104072273972605,59.61496583105023
0,1-5-25 75,51.842722083333335,5.8658279166666665,154.89649575719176,47.410876159246584,59.01179437157535
0,1-5-25 76,64.32144458333333,115.02426708333336,154.84914872340184,47.104072273972584,59.61496583105022
0,1-5-25 77,42.08791916666667,25.982915000000002,166.1044151748288,47.39302657591325,59.39658257420092
0,1-5-25 78,51.84272208333334,5.865827916666668,154.8964957571918,47.730515721461195,58.99490426312787
0,1-5-25 79,37.21753958333334,189.22045416666663,153.5336953910959,47.730515721461195,58.99490426312787
0,1-5-25 80,137.27226625,110.91826875,154.84914872340184,47.1040722739726,59.61496583105023
0,1-5-25 81,51.84272208333334,5.865827916666668,154.8964957571918,47.410876159246584,59.01179437157535
